,Value
Start Date,2015-02-02
End Date,2024-12-31
Average Daily Return,0.0004966184468777957
Daily Return Std Dev,0.011232809461377643
Annualized Return,0.12514784861320452
Annualized Volatility,0.17831532215627183
Sharpe Ratio (rf=0),0.7018345204431033
Average Rolling Volatility,0.009352195600906886
Best Daily Return,0.0938277397622755
Worst Daily Return,-0.1198405524039344
Total Cumulative Return,1.9482001972961478
Maximum Drawdown,-0.3392496000265325
